比起律所的offer 带货更令人心动
@陈咕-
能带货赚钱谁还有愿意当律师咩，我要是能带货我也带货
那人才市场现在就这样
那些没继续的也是能力不够做优秀律师 很优秀的那几个拿到offer也是一直坚持了啊
感觉这季不太行（这是能说的吗）
？
谁会跟钱过不去啊
劝你别太真实，这年头有点流量就有粉丝
龙飞已经纯做博主不当律师了
笑死
你管人家呢？ 人家能力摆在那里 爱做什么做什么 怎么 人家又有能力又会赚钱你羡慕了？就允许那些网红来快钱是吗？
啊这，我们近代史老师同时也是律师啊有时还调课去开庭嘞
谁开始卖货了呀
你呢？你在干嘛呢
有钱不赚他们是傻吗 谁跟钱过不去啊 这跟坚不坚持初心有半毛钱关系
请问吴律，没家底适合当律师吗？
这不是很正常吗 我们面试的时候都会修饰自己 有更高工资的工作我分分钟走人 那又怎么样？
上节目就是为了火的吧…要不每天工作累的要死哪还有心情面对镜头被别人挑错
鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅 其实我也不是很想考研 我都不知道和我朋友天天搁那主播背后捧哏该多无忧无虑的开心。
尤其是第一季的gx之类的盆满钵满继续读书去了
瞎说什么大实话
因为没有哪个职业比网红明星挣钱轻松和快了
哈哈哈哈哈哈哈
额
这两季开始这节目和选手天天营销，搞得跟恋综一样
谁在带货啊？
很难不赞同，尤其是offer1里的某些
1里面有些都是全职的自媒体博主了，根本没接着做律师，不过也是个人选择。当然小何，李晨他们我真的很喜欢啦，接着做自己喜欢的事
1那些该留学的留学进修的进修入职的入职，不都干的挺好的吗
谁？offer1他们那些不都在好好干吗？
丁…
能上offer其实本身也很厉害了已经，选择什么路线无可指摘了
很真实
综艺不就是这样，就像节目里那些行业大佬，都成大佬了还上综艺，总不能这些人也是没能力的吧法律行业又没说禁止搞副业
@你在干嘛啊在想我吗
中肯的
李思思都带了
既然能带货赚钱何必赚那点窝囊废
@温柔的小郑小郑 真实
红圈律所：与其来找我上班，不如赚钱来找我代理
