假新闻就不要信谣传谣了
再建也得有速度啊，福特号十年才这样，老的修好就是碾压实力
在建的至少还有2条福特级的，都已经下水
回复@YH-2000:美国人没有赌国运这一说，昂撒人从不赌国运。不会直接和自己体量差不多的动手。
造新航母要多久？下海到形成战斗力要多久？
回复@万象更新不着相:长点脑子，不要一点脑子也不动，听风就是雨[污]
建造太慢了
回复@万象更新不着相:说他扯淡都是客气，你长点脑子好不好。
张嘴说别人扯蛋，我看你就是个混蛋？
回复@YH-2000:他还没钱？印呀，抢呀[污]
丫木有小钱钱了，准备赌国运[允悲]
丢掉幻想，准备斗争！！！
[赞]
皮裤套棉裤，必定有缘故。国之大事。首要在戎。军事装备实战化，一刻不能停。
我们也一直在准备战争，现在就是抓紧把海外资产安全弄回来
简直张口就来以谣传谣，请问美国几个船厂几个船坞，干完这些维修工作需要几年？
美国有那么多大型船坞同时维修10艘航母吗[允悲]
有有有[doge][doge][doge]
美军有 35 艘医院船。医院船难道不能修航母吗[挤眼]
『两个信号：美国很可能在加速准备战争』
确实是在战争准备
如果真的会爆发一场需要美国动用11艘航母的战争，估计将是毁灭性的
舰载机是因为战机航程有限，机场又不足以覆盖大片海洋区域。 才退而求其次用于海上制空和对海作战使用。 舰载机的战斗力总体是达不到同代战机空军版的。 无论载弹量，作战半径，还是电子战预警机辅助。 因为舰载机受限于跑道长度。 阿美莉卡用航母在近海欺负欺负中等国家，或者在深海掌控制海权还行。
干
确实有可能博主高见
不是没有道理，要做准备！
战争不可避免。
枕戈待旦
除了福建，江苏，浙江，广东，每个省掏个几千亿出来冠名，都是万亿俱乐部的
美国现在同时在建四艘新航母
不管它如何，咱们好好准备。勿恃敌之不来，恃吾有以待之。
那就趁他们没修好打
我比较想知道[挖鼻]按照鹰酱现在的维护速度什么时候能搞定。
何尝不是在被动应对呢？任何时候都能随时派出航母编队及时赶到不是更香吗?
当所有找都用完，就只能靠战争了
不是因为修不过来攒的？
DF27打掉三艘之后看他们怎么想
26年
都在哪家船厂维修呢？阿美有那么多可用的船坞吗？
就美国这种保养速度，质量。是准备报废的节奏
再造是可以呀，但是也养不起了。现在美债利息还的都吃力呀//@岛外打渔人:扯淡吧，准备战争不应该是再建造航母吗？
11艘一起出洞，洪司令要返岗作战吧
不怕不怕，只要人民解放军把反卫星和东风快递技艺玩得炉火纯青，紧紧盯着华尔街就行。那才是美帝的命门！
我们也一直在做战争准备
话说27年转眼就到了，也是时候该修修该补补。
假新闻，现在巡逻的就有三艏[doge]
有道理
有没有一种可能，过于老旧，提前进入保养期，或者支持去不了那么多航母群部署
打谁也用不了11艘航母，有两艘一遛达，连屁都不敢放了。
1
摊牌了
提高警惕，保卫祖国
这提醒很有意义，希望有关部门做好准备！
美国的船坞:你们中国的自媒体这是要折腾死我呀。
美国鬼子现在连阿富汗都干不赢！
美国鬼子秋后的蚂蚱！
十艘航母同时检修？有这么多船坞吗？
美国目前十般航母在维护的原因是美国船坞不够用，航母维修在排队！
未来航母的真正意义在于保护国际航道
现代战争已经变化很多，在中远程打击能力大幅升级的情况下，航母在大国对战中可能成为活靶子
这场战争一定会有的，只是迟早的事！而且一定是核大战。[吃瓜]
对被侵略的大国来说，20艘航母也是小舢板。
用脚趾头想想也不可能
在反舰弹道导弹的射程内，3艘航母和11艘航母的区别不大
废话少说。赶快快递。
舜间个球，至少对中国无用了，太空站能发氢弹，巡天飞机亦能，[允悲]
放屁，那是因为美国彻底荒废了制造业
排队呢，在建的和早进坞维修的都把坑占满了，怎么可能同时维修这么多艘，又不是路边补胎
我也有同感。
在核武器面前，航母都是浮云
想同时跟中俄作战！
就怕来一艘膈应人[允悲]来十艘掀桌子，从天而降管够[doge]
就看老美从俄乌战争中刮出来多少钱了
瞎扯淡。漂亮国还有同时维修十艘航母的能力？
怎么可能10艘一起保养？这种新闻一看就考验智商。
我预言一下  大家今后几年可以多关注下朝鲜半岛
我们要积极备战，竖起耳朵，睁大眼睛。争分夺秒的备战。
前两天我就在贴吧上面评论了这个问题，结果遭到了嘲笑
现在航母就是靶子[哈哈]
所见略同
那就是准备背水一战了吧
纯粹瞎编乱造
修的没有坏的快[哈哈]
美国准备世界大战了
我严重怀疑美国还有没有能力对中东国家再掏洗衣粉。毕竟再印下去，“厕纸”又要涨价了[doge]。
只要不正常，什么时候都要重视，
军援乌克兰，隐形激活国内弹药产能。但是军舰产能太拉胯，实在是真的修不过来，潜艇维修都排期到1年后了。想打，又不敢打，因为击伤即击沉，失去战斗力又修不了，跟击沉没区别
有没可能是修不过来了[笑cry]
想想老美是有多少航母维修基地供他停10艘航母[doge]
不是保养是集体被吓尿了
很有道理，美国现在在衰落，就会发动战争来争去国家发展的空间
打一仗吧！好重新洗牌
超过一半的航母服役都超过四十年了，这些老家伙，不保养也得保养。长期在海上那个盐碱环境，又是几十年前造的船体，其实延期服役这么多年已经不错了，又不像瓦良格号，造出来后基本没怎么出过海。
趁现在收复湾湾
因为它维修不过来
呸，老旧，上世纪的装备你也没有吧，吹牛B一流
这个分析值得认真评估[感冒]
[doge][doge][doge][doge][doge]
没炮弹了
说的好，推理有里
恐怕是美国军舰维修保障能力差吧？
都要拉去给印↗度↘保养了，我还有什么话可说呢
2030年估计也保养不过来
貌似也是按他们自己提出的2027年台海有事的时间线在进行准备。
也要准备两个方向的作战
