中国需要背后出手了！这是立威之时！
这个法西斯主义国家，加沙地带战争为什么要轰炸叙利亚？[摊手][摊手][摊手][摊手]
这是逼美军下场吗[疑问]
[怒]
既然是战略伙伴是不是应该援助一些防守武器，如防空导弹。
阿拉伯世界的大哥应该做点什么了。
也就欺负欺负弱小的叙利亚，伊朗和埃及它敢动吗
送点红箭过去啊
以色列是战争狂魔吧
[doge]挑软柿子捏
伊朗外长被迫返航，美国派了航母去，以色列飘了，准备拿下除了加沙外其他国家的领土了……
可不可以给叙利亚提供点厉害的武器，看着可伶
不是说叙利亚总统来我们中国。回去以后以色列的空袭都被他们抵挡了吗？叙利亚的机场应该受损不会太严重吧？叙利亚也空袭了以色列哦。要继续，不要怕报复。
回复@疾如风527:我要腿，多放孜然多放辣[吃瓜]老板烤快点哈，饿了。
回复@轻微爱豆豆:起夜顺便逛逛微博啦[允悲]结果没说什么被禁止了转发
回复@黄玉卿HmYorking:真是夜猫
回复@轻微爱豆豆:低到尘埃就不会反抗了。无尊严的活，不如有尊严的死。总要让全世界都看到。总有正义之士为他们发声
回复@黄玉卿HmYorking:已低到尘埃，愿望是活着吧
回复@半斤有点多:[挤眼]
回复@轻微爱豆豆:愿望很美丽。实际很残酷。
恶霸就是要赶尽杀绝，进退都是要杀的，所以只能拼了
回复@黄玉卿HmYorking:[笑而不语][笑而不语][笑而不语]
回复@半斤有点多:没有半斤多。
回复@疾如风527:大家快看！这里有个急辱疯吾恶欺[打call][打call][打call]
回复@疾如风527:油炸还是清炖？
大家快看，这里有条鱿鱼[打call][打call][打call]
战略性轰炸，试试对方态度，顺带防止支援加沙地区
是不是该卖防空导弹系统给叙利亚啊？
我是以色列我也疯狗，毕竟从前不干人事的时间太长了。周围邻居怎么看他心里是有点ac数的。阿拉伯人可以失败无数次，以色列失败一次就又要没了。偏偏好大儿现在又不牢靠了。想到自己整不好又要变肥皂的人不疯才怪。
落后就要挨打！
阿拉佰人，必须团结起来
鱿鱼哪去了？
妥了，接下来阿拉伯国家群殴指日可待[太开心]
@以色列驻华使馆 凭啥？
叙利亚自己的机场都保卫不了
世界上起码超过80%的国家无法保卫自己的机场
就是欺负比他弱的
希特勒看地球仪，都是我的地儿
空袭机场，背后深层意图阻止外界救援，切断外界联系！[怒][怒][怒] http://t.cn/A6WzF1yF
转发微博
打他够的[doge]
[怒]
