有些人就是天生坏种[怒]
这是不得把全国的留守儿童都抓起来啊 还是得让留守儿童的父母都回家啊 毕竟流浪狗问题解决得雷厉风行的 把狗都抓起来了
拉进少管所，学校老师和校长都推卸不了责任！
有儿子之后我也不敢看
女孩儿父亲余生有事儿干了！
怎么这么坏啊！！
有时候老实就是一种错，可是有的老师怕麻烦就会说：他怎么不欺负别人就欺负你
解决工业快速发展与家庭完整性的矛盾，关键在于小孩就学问题，户口地域问题。过去人离乡背井，也是拖儿带女的。现在开放发展这么多年，还在排斥外地人。只要人劳力，不给人基本福利。
值得关注一下
谁拍的视频？
""
@把一切留给月亮z
艹
对这种儿童实施鞭刑吧！
什么东西啊
这种真的应该好好的教育教育。
恶魔长大会怎么样
留守儿童是一道伤痕。
啊，看不了，心梗了。。。工读学校是不是有必要了，去百度一下
去年儿子在学校被同一个同学一周内抓破脸四次，我给他爸打电话几次无解！给学校反应，校长和稀泥。我最后直接把他拉去派出所，到现在都没再犯！
我要是孩子爹我打死这些崽子
真的很无语，难道法律层面就真的不能保护被欺负的孩子
少管所走一遭
哈哈哈 换我是家长都把这些欺凌的孩子砍死~
全世界都存在这种现象
小孩子都無法無天了！
好气啊 从小就这么坏
这种坏孩子，这么小，这么恶，今后也不会是好人。
真TM的！@最高人民法院 监护人是不是应该承担刑事责任啊
说白了还是缺乏教育，和大同那
特警咋不出动？
看了视频，小女孩太可怜了，被全班欺负，尤其那个黑衣服的小男孩，反社会人格吧！！父母要看见这个视频非得心疼死了
国家政府什么时候才会真正关注到这些事情
我们老家家家户户外出开沙县小吃店，小时候全班大都是留守儿童，倒是经常被女生欺负，女生普遍比较高大
应该把设立未成年保护法立法者撤职查办！
我去…视频挂了？！
谁干的！
那个穿红衣服的女孩我还以为是去扶小姑娘的……
是一个孩子吗，上衣不同。
按照狗咬人视频的效应，小男孩出门也需要栓绳，就地处决了
不要拿留守儿童当借口
反正没人管也管不了
协商什么？
课堂上都敢如此嚣张，我不信老师们平常看不到听不到，装聋作哑罢了，建议彻查
留守儿童不是人？？？
教育啊
当今社会 家庭要求孩子的首先不是成绩有多优秀，要教会他她们，要勇敢，要教会孩子不欺负他人，更不能让别人来欺负自己，要学会用未成年人保护法来保护自己，用未成年人保护法 来 惩治伤害自己的人。
这不是单纯的管理问题，这是严重的教育缺失！学校和老师严重失职！
未成年保护法 实际保护了施暴者 违法者，它打人没事，你打它违法。
管不了就别生 有人生没人养
看的我要气死了
监护人必须连带追责的，而且应该从重处理！
……
杀了吧
法律要从娃娃抓起
人之初，性本恶，无人管教就会恶贯满盈。
前几天看了个视频，一个家长把校霸的脖子快割断了，还残忍
北京市朝阳区常营保利嘉园一公里内的高安屯垃圾处理厂经常半夜排放臭气，把人熏醒。长期多次反映无果，相关部门不作为，纵容慢性杀人。
种不好！
这种情况就是应该其人之道还治其人之身，不然记不住
为什么不把这个地区男孩全部捕杀好可怜的小女孩
这种男孩父母不签好绳子谁知道他们什么时候回突然发疯打人
后续是什么？是不是也该打回去6分钟
没人性的，还踢人群殴
今天踢同学，同学不反抗，家长窃喜；明天踢个流浪狗，狗把他咬了，家长就开始炸锅了…
它们都是孩子，一个也别放过，全抓起来！
小学生就开始变坏
校长，滚蛋吧
少生优生
希望以后少一些暴力镜头的电影。总觉得很多孩子在模仿欺负别人。是一种并不知道自己行为需要负怎么样责任？就是好奇甚至觉得是荣耀。希望学校完善制度，少年不应该应为家境好或者年龄小就逃避责任。
@中国警方在线 何时能像关心狗伤人一样关心人伤人
衣服不一样，受害的可能是好几个人
如果未到年龄，建议到年龄直接入狱。现在孩子犯罪低龄化越来越高，不是年纪小就可以被原谅的。
小学班里转来一个女生，结果全班都欺负她，恶语相向那种，其实她挺好的
霸凌霸凌，谁能管管
打人的学生应严惩
人之初性本恶，这是肯定的，必须重罚
妈的，血压又飙升了！
学校要有应对校园霸凌的处罚规定，让那些有恶念的小孩儿有法律意识，同时也要保护弱者。
呵呵，这就是现实！
校园霸凌一直就没听过
不止一次殴打霸凌呀，视频里就两次了。什么样的家庭的男孩才能这么万恶，还拍视频让被打的女孩子看气炸
留守儿童，尤其是女孩，真的是倍受欺负
小学生都这样了?
关起来
这些小男生作恶，肯定是家庭环境本身就恶，有种出种。必须遭到社会毒打才会改邪归正
这些“留守”学生可以啊，手机用的挺溜
看着太生气了
听贵州人说过 她当时还打人 一个屋子里大家排队打一个人 一人扇一巴掌 我问为什么她说不知道
小学就这样了
除了家庭教育的责任，学校也有管理不严之责！
疯了
这也是接班人的教育吗
我告诉我的孩子不欺负人，但凡没有人欺负他，反击回去，趁机逃跑到安全的地方找大人庇护
不进少管所对不起学校的教育
找出来，打还回去
什么样的人会如此下得出手这是人性的扭曲，更是道德的沦丧不幸的小女生碰到了一堆人渣
小小年纪就这么恶毒，长大还了得，别在拿什么未成年保护法来替他们开脱了，该好好整治一下这些坏种了
坏种就不该留
人之初，未必性善，也有天生的坏种
居然没人追责学校和老师
贵州的留守儿童问题似乎总是格外严重。
这和咬人的狗也没啥区别
这些年的教育是真的出问题了吗，这种恶劣的霸凌层出不穷。
孩子还小，千万别放过他
人之初性本善？
这施暴的就该被活活打死
野人
这么小的男孩就会欺负女孩，长大会怎样……
父母长辈教出来的
兔崽子们不给点实在的教训不知道怎么做人！
留守儿童好悲惨
有生无教，大可不必生
当地教育局也是留守儿童吧
没拍到的怎么办
要是我孩子被这样 我特么以暴制暴
一定要反抗啊 不能任人欺负 闹大了 自然有人管
mdb 欺负人欺负惯了
把打人孩子的腿打折了吧！
@江宁公安在线
保护一个恶魔，牺牲了好多天使。
留守儿童就是不管的理由？
未成年人不能判刑可以留着等到他们成年再服刑，这么个事操作起来很复杂吗？
关心巴勒斯坦的也关心一下自己
妈的 这种父母不在身边真的是不行 就该提刀去吧这几个孩子连带她们家长都砍了
真想过去扇那男生耳刮子！
对着孩子的心理造成的伤害一辈子都不会消散。必须严惩，坐牢
拘留这些小流氓地痞！
还TM调查什么呀？
我怕我的孩子被霸凌 所以我不敢生
心酸无奈！ 我孩子也是留守！ 啥时候能团聚啊
还是吃的太饱
求真相，求处理结果。
在东北你看我打不打他就完了
真是讨厌的男孩子，打回去，别怕
女生家庭一定是很普通很低层的，所以这帮兔崽子才敢这么猖狂。人之初，性本恶。
欺负弱者是最懦弱的表现，别成为弱者要勇敢地反击，让对方后悔
能拿起刀，保护自己
太特么过分了！！！
毫无办法
怎么这么缺德！
能不能判刑啊 现在未成年犯罪的越来越多 但就是没有惩罚啊 除了赔钱
每当看见这种事我就要问女生父亲在哪里？
既然都是垃圾就一起烧了吧
为什么其他人都看着！！！
。。。
这种男生就应该往死里回手打他！！
直接分了器官送人算了
少管所需要重启
黑衣服这个最好出门遇到疯狗。
老师跑了吧
不是说人之初…这离初也没有多远呀
有没有滴滴代打
那些杀狗虐狗的仗义人士，这些孩子该怎么处理？
这是个什么种，
这种事情不是最近才出现，我们小时候班里也有这种渣子，只不过现在有了网络才频繁的被爆出来，我认为这种人渣就是家庭原因，有人生没人养的莎币。
校园暴力
管理不善
有些小的坏种，就应该被毒打，不然不长记性
老师呢？
这帮小崽子是看了不该看的东西，就不是踢踢打打了。恢复少管所吧，这些坏种不要跟正常孩子混在一起！
这个女孩一看就是被欺负惯了，没有一点反抗的意思。特别是农村的学校，很容易发生这样的霸凌，我认识的不止一个农村的给我说过这样的事，没有歧视农村的，这是事实
断了这狗仔子的腿，让他欺负人
影视
唉，估计他们也受不到什么惩罚
光注重留守儿童的吃穿了，没注重人性
基因里的坏！
真的小孩子的恶难以想象
国家的耻辱！没有现在的媒体，难以想象。
留守不是就可以欺负别人的借口……
这种孩子怎么不套走，做无害化处理？
未成年人遇到这种情况最好的解决办法就是：拼尽全力打——回——去！！！
杂皮
斩立决，小枪毙
校长应开除
坏种
打人取乐？？？
留守的没有父母教育缺乏管制， 看拿着手机录像 明显是网上那一套 而且是不良内容的引导 想看什么看什么 看到什么学什么
墙烈呼吁，对于这些恶毒的小孩，小时候犯下的罪可以目前不判罚，等满18周岁了执行刑罚！
是贵州安顺呀，哪就不奇怪了
这小兔崽子被怎么处理？这就是天生的恶魔，长大了危害更大，黑白无常收了他吧
建议处死所有小孩儿，因为这个小孩儿打人了
这是开始吧，再打几次会不会升级？谁家的孩子有人生没人教，坏种
老师那
好好收拾收拾这些不良少年
能不能不接受调解让打人的去该去的地方，要不然就让挨打的女孩家属挨个每人六分钟，打他们几个一顿也是可以的，只相信以恶治恶以牙还牙
拍视频的什么人？！   为什么不阻止不劝说？！
按照我们这儿的做法，要把所有的小男生全用网兜走，一刀切
"""人之初，性本善。""是纯扯淡！恶刻在基因里~"
各个代表每年都代表你妈啥？
坏他祝他得癌症
这种都是有人生没人管的玩意儿
所以小孩还是不要太老实了，谁打你就打回去
校园霸凌改好好管理了
支持被打小女孩报仇，对坏种只要一叨保管一辈子不受欺负
拳头硬了
太坏了
太可怕了！
小小年纪就那么坏，别指望长大能学好。
恶魔投胎😡😡😡
踏马的看的我拳头硬了
校园霸凌
还是有必要把少管所建起来
挨打的人可以马赛克保护，打人的就应该曝光出来，有脸打人没脸让人知道啊？
妈耶
这些男生要不要抓起来？跟抓狗一样
人性之恶
这个打人的孩子已经有了反社会人格的萌芽了
谁拍摄得？不制止？小学生就在学校用手机？
这学校没老师？
社会的恶在孩子时期就比较直接，在成人阶段就是要你命
严惩不贷
社会病了
现在比以前少多了好吗
这样的崽子还是不生最好
未来的公仆苗子
围着这一圈全突突了或许有冤死的，隔一个毙一个绝对有漏网的
小学生就能带手机，可见平时管理的疏松
这几个就该被揍一顿
他们都还是孩子
唉～全方位落后，这还几十年前这样，没想到今时今日依然坏种横行
"只有强者才能生存，符合达尔文的理论社会是现实，也是残酷的,生活每一天都是战斗!"
老师失职
哎 这要被父母看到，父母得哭晕了。为什么要欺负同学呢。
厉害了我的崽
长大之后都是隐患
山穷恶水，民风彪悍
这值得全面扑杀了
抓起来枪毙吧
这个死男孩
还手算互殴
又不是打狗，没人关心的
打人的就那一个坏种
回家我一个一个腿打断
哎
码的，看着气人
神经吗，打这么久老师都不来
太恶劣了
流浪孩子吗？
真想一脚给这个小男孩踹飞了
小学生哦😲
打人的一直是一个男生，但是被打的好像是两个女生。
留守儿童也不该成为施暴护身符吧，还是天性残忍
气死了，一定会现世报的
霸凌必须严惩
