先声明不是来抬杠的哈，2%的YT人占了诺奖应该基本属实吧，这怎么来认识呢？
痛恨纳粹，反对纳粹，理解纳粹，成为纳粹，超越纳粹。
长大后，我就成了你
一个人见人厌走到哪里都被人驱赶的民族有脸自吹最优秀的民族
美术生表示没说过这话，历史是胜利者写的
犹太复国主义者比日本帝国主义还操蛋！
马克思也是yt人
马克思父系微犹太血缘，但父亲亨利·马克思已经改宗信仰基督教，幼年马克思接受基督教洗礼，马克思不是犹太人。并且马克思本人也不承认自己是犹太人。 就像以色列的中以混血儿某某不是中国人一样。甚至于犹太人主要不是祖宗概念。主流的以色列人认为犹太人中只白皮肤的犹太教团体，黑皮肤和白皮肤的互仇
#全世界人民团结起来# 现在大家明白了，当年只不过是大纳粹要灭了小纳粹。纳粹是全世界人民的敌人！
透彻！！！博主说的好！！！必须转发！！！
不，是青出于蓝胜于蓝
肯定不是犹太人
#纳粹#
搞半天当年圈起来杀害是为了争谁最聪明。
德国战败后，犹太人拿走了《我的奋斗》
好图
以色列为什么这么狂？还不是因为他们在世界各国的资本渗透
揭画皮
希特勒不就是犹太扶持的吗？
希特勒说不准就是学的犹太资本，只不过犹太资本被反噬了，哈哈
纳粹犹太
转发微博
这图好
逻辑上完全一致
他们只恨当年开洗澡房的不是自己。
所以叫犹纳！
都是从昂撒学来的……
强者生存
就是黑吃黑
上帝的子民们对其他人都是这么说的
事实确实是以色列像纳粹，甚至有过之而无不及
新纳粹，天选之子犹太复国者
是的，他们是最优秀的民族，可厉害了，可以把别人的土地变成自己的，还把原住民给杀死灭种，这不就是最优秀的种族吗？
小胡子有罪，但这话也没什么不对，为的是在德国最困难的时候激励德国人，我们一些场合也说中华民族是最优秀的民族。每个民族都可以说自己是最优秀的民族，但不能借此打压和欺负别的民族，能力越大责任越大，既然最优秀就该为人类福祉和进步作更多的贡献
这个地球上大概只有中国人觉得因为我们不是历史上第一优秀的民族所以等于我们很糟糕
人形肥皂洗脑鸡汤文
http:
年少时，以为是魔鬼屠宰羔羊，现在才知道，根本就是魔鬼和魔鬼的对决，只不过另一方魔鬼输了。
没看到，要说吹的功夫牛的可太多了
犹太人，当年就是个骂人的贬义词
3
确实如此。
Stand with Gaza
犹太人必将再次毁灭
纳粹灭亡了？
同行是冤家！
这张图太棒了
中国人智商最高
纳粹被侮辱了。
有过之而无不及
难绷 http:
有种假说:希特勒实际是个犹太人。
纳粹正统在以色列
怪不得当年元首杀犹太人，这是同类相残。
此博当转。
就没建过国，哪来的复国？
北美犹太就是纳粹啊，元首跟他们学的
犹太复国主义者和纳粹是一家
#巴以冲突# #以色列# #加沙地带一医院遭袭数百人死亡#  @以色列驻华使馆 说的就是你
犹太人真继承了纳粹精神，而且青出于蓝而胜于蓝
极端主义不管怎么洗地，必然导致有良知的民族联合起来，干掉它。哪里有压迫，哪里就有反抗
都不是好东西。
这是别人吹，和自己吹是两回事
凡鼓吹自己是 最優秀民族的 ，正因為 基因裡缺少了「謙虛、包容 和 自知之明」，所以 想藉由 宣傳誇大  來讓他人信服，結果呢 ？ 日耳X  和猶X   全都滿手血腥  對人類造成嚴重的傷害 …   你們 已經來日無多了，卻還「不知死活」！
都是极端种族主义。
他们本来就是一伙人
