id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4959758270076037,Np4Aj0jMp,7739260865,用户7739260865,//@用户7739260865:喜欢心地善良诚实勤奋努力能吃苦优秀的王一博特别好的孩子，好多年不进电影院了，今年大年初一看《无名》四刷，一博演的叶先生超级好，只看一博演的三部电影，永远支持你所有，一博加油！！支持微博实名制，把死黑子找出来，让它们死光，死黑子它们不得好死短命鬼，会遭报应的。,,,用户7739260865,,0,0,3428,2023-10-22 21:39,小米10 青春版 5G,,,4959631657664859,江苏
4959427515648678,NoVYPnHtI,7862274040,我来巡察,刘雅瑟微博也成ljc了，快点实名制吧。加油支持你。dy很多人为你鼓掌,,,,,0,3,19,2023-10-21 23:45,刘雅瑟超话,['https://wx4.sinaimg.cn/large/008A5iDCgy1hj3bhtlszyj321c0u046r.jpg'],,,四川
4959422890380157,NoVRn1ATz,5311527040,痴痴痴吐了葡萄皮,#河边的错误看完不走#看到很多人说看不懂，我用微博用户能理解的事物大家可能会秒懂马哲代入实名制大V代入身怀各种秘密的“受害人”疯子是谁那还用说吗🤷‍♀️,,,,河边的错误 看完不走,0,0,0,2023-10-21 23:27,iPhone客户端,,,,湖北
4959365941692316,NoUnw76fq,5672539810,滴血雄鹰-走夷方,黄哈这下彻底懵逼了，口口声声支持巴勒斯坦，支持哈马斯，结果巴勒斯坦配合以色列打击哈马斯！哈马斯是极端组织，恐怖主义是人类的公敌！#巴以冲突#,,,,巴以冲突,147,227,2513,2023-10-21 19:40,iPhone 12 Pro Max,['https://wx1.sinaimg.cn/large/006bToJAly1hj34afy619j30m83j6ngk.jpg'],,
4959418997279277,NoVL5uxFH,7297074096,鼓山小虫,//@滴血雄鹰-走夷方:回复@仗义每多____:我一直实名制呀，等不及了//@仗义每多____:等着吧，等微博大V实行实名制的时候，有你们哭的时候#巴以冲突#,,,"滴血雄鹰-走夷方,仗义每多____",巴以冲突,0,0,2513,2023-10-21 23:11,Flyme,,,4959365941692316,福建
4959418195118695,NoVJNltBB,2289501715,路向远方2014,没有人性！你应该没有父母和孩子，所以不知道人性是什么！//@滴血雄鹰-走夷方:回复@仗义每多____:我一直实名制呀，等不及了//@仗义每多____:等着吧，等微博大V实行实名制的时候，有你们哭的时候#巴以冲突#,,,"滴血雄鹰-走夷方,仗义每多____",巴以冲突,0,0,2513,2023-10-21 23:08,HUAWEI Mate 60 Pro,,,4959365941692316,山东
4959416850582777,NoVHD2rBD,5672539810,滴血雄鹰-走夷方,回复@仗义每多____:我一直实名制呀，等不及了//@仗义每多____:等着吧，等微博大V实行实名制的时候，有你们哭的时候#巴以冲突#,,,仗义每多____,巴以冲突,5,13,2513,2023-10-21 23:03,iPhone 12 Pro Max,,,4959365941692316,云南
4959409912152182,NoVwr91SC,7792995041,木然橙子mrcz,顺着烧🔥头子的微博一个个拉黑，免得误点👍🏻她怎么天天fq啊，拿别人当乐趣玩耍，还美其名曰“喜欢”，快点实名制吧，我要看她的名字有多丢wz的脸,,,,,0,0,0,2023-10-21 22:35,Android,,,,贵州
4959409664430932,NoVw2iAGE,3165137393,吃兔兔不吐葡萄皮,看了完整的网兜小狗视频，原来它只是一条4月份被驱逐出校的很凶的小狗，它也不是重庆的小黄。。然后，这个视频是小红书博主很早以前发的，但是又tm被微博裁缝们偷到微博发酵了。我真的是服了。。。微博你的热搜为什么那么多次都是谣言？建议反省下吧然后吧，明明线下社会正常养狗人挺多的，但是微博上不知道为什么，就全是疯狂的狗儿子，你倡导要文明养狗，狗儿子们就闻着味儿过来咬了。要我说，在微博上靠搞社会舆论赚钱的就没有一个是好人。我还是暴论，要我不支持前台实名制也可以，微博实现某些大V和戾气用户每次发微博都需要AI人脸识别就行。很多时候真的觉得这个微博热搜没必要打开，除了浪费生命真的没啥用处。,,,,,0,4,0,2023-10-21 22:34,iPhone客户端,,,,四川
4959354575917454,NoU5boPoO,3460516424,HeyWarWars,嗯，这条微博没了,,,,,432,304,7642,2023-10-21 18:55,,['https://wx1.sinaimg.cn/large/ce434a48gy1hj3344x4tsj20zk1cawoe.jpg'],,
