看着挺有食欲，比脚丫子强多了[doge]
回复@铅医蔷薇:对，色香味形触，色排第一。
五颜六色才好看，好看才有食欲[笑cry]
为什么我炒米饭老糊哇[单身狗]
我也是 中午炒的蛋炒饭糊的不行
回复@盐酸那什么药:那要多干？，粒粒分明那种吗？
回复@努力的孩子终有回报:油其实不是问题，，主要是饭要干
回复@盐酸那什么药:那可能是我的米饭太稀了，然后油太少了吧哈哈
回复@记忆灬模糊了:[ok][ok]我下次注意一下。
还有一点米饭太软，配料水含量多
先炒配菜把锅润好。再放冷饭，冰箱里冷藏一夜的隔夜剩饭最佳，不能是稀的上汽的，这样米很容易炒散开
回复@铅医蔷薇:好的，还跟火有关系[单身狗]，我之前炒了一份，米饭一般糊在锅底上了[裂开]
火小点
回复@沙场佰战未封侯:好像确实是，我怕太油，就放的不多
油放少了
美⾷家今㆝不孤独了[doge][赞]@我的印象笔记
哈哈哈哈哈[笑cry]
真是个贤妻良母[赞]
哈哈哈哈哈[笑cry]
图2里找了半天虾仁[允悲]
回复@铅医蔷薇:肯定是对象
哈哈哈哈，虾仁都在另一份里[笑cry]
两个人？谁？[挖鼻]
回复@铅医蔷薇:猜不着啊，等你解密[笑而不语]
你猜
三份是吃三餐还是一餐就吃完了？
回复@铅医蔷薇:爱心晚餐吗[doge]
两个人吃一顿[笑cry][笑cry][笑cry]
卖相不错，贤惠呀[笑cry]
回复@铅医蔷薇:靠谱[干饭人][干饭人][干饭人]
哈哈哈哈哈哈[笑cry]二十一份，值不
看着不错哦
吃着也不错[笑cry][笑cry][笑cry]
这种吧，俺最喜欢的是弄点酱油一拌，捏成小团，压成饼，刷上油，上平底锅煎，好吃！[舔屏]
你这个，好复杂[允悲][赞]
三盒能炒好几顿[允悲]
图二，炒了三份[笑cry]
论做饭，我也是佩服你的！
我做饭的年限比当医生时间长，也比当医生经验多[允悲][允悲][允悲][允悲]
还差一分绿色的凉拌茼蒿[打call]
够了[笑cry][笑cry][笑cry]
很会做饭[doge]
会吃[笑cry][笑cry][笑cry]
我也经常把单位中午的盒饭带回家做蛋炒饭 因为盒饭的饭比较硬 炒蛋炒饭就会一粒一粒 很好吃哦[哈哈]
对，比较硬适合炒一下。自己家我做的蒸米饭，很软，炒的不好吃
真·心灵手巧
[笑cry][笑cry][笑cry]
没富婆买羊肉啊[思考]
富婆在哪里
厨艺真好，想吃[允悲][允悲]
各种佐料往里加，就好吃[笑cry]
这是医生职业病吗？备料都如此整齐
材料多了好吃[笑cry][笑cry][笑cry][笑cry]
中午在食堂打饭，米饭自助，打了实实在在的一盒，吃两口剩下的带回家炒饭
哈哈哈哈哈哈[赞][赞][赞]
“炒饭要用隔夜饭来炒”[doge]
外卖点的米饭都很干，直接用也行
最少能吃两顿
回复@铅医蔷薇:饭量真好[鼓掌][鼓掌][鼓掌]
一顿得给干完[笑cry][笑cry][笑cry]
搬家了
没[允悲]
吃完饭了，可以过来搞我了吗[doge][doge][doge]
东北太冷了
我担心你把三盒全吃了[哈哈]
一份米饭，配一瓶啤酒[笑cry]
可以
不错哎！！看着很有食欲[哈哈]
这炒饭看着不错
想吃 薇姐手艺可以啊
鸡蛋还单独先炒出来啊
好看，估计也好吃
三盒你干掉[666][666][666]
[赞][赞][赞]
哇🎊看饿了[可爱]
嗯！吃好点！
[good][good][good]
好样的。
真不错[good]
哇真不错！
赞
自己动手，丰衣足食[赞]
确实很浪费，做的很不错嘛
料子丰富
蒜薹还能炒饭，好新奇呀
会过日子
看着好吃
卖相不错，看着有食欲
再来点儿香菇。这倒提醒我了，感觉蒜苔切段儿不好吃，下次我试试切丁。
蛋炒饭[赞][赞][赞][鲜花][鲜花][鲜花]
优秀[哈哈]
挺好的，我也是会把这样的饭带回家。
中午吃的虾仁炒饭[兔子]
手艺不错啊[good]
看着很好吃的样子  会做饭的男人超帅
比饭店里的都实惠
挺会过[憧憬]
色香味俱全[赞]
[赞]
持家有方
呦！不错哦[嘻嘻]
厉害厉害了[鲜花][鲜花][鲜花]
太会过日子了[good]
薇薇说自己每月收入不满二万，北京大三甲医院的主治这个薪资水平我有点不大相信[doge]
贤惠
真是个勤俭持家小能手[good]
[二哈]想吃
好吃😋
不错[赞]
会过日子[嘻嘻]
不浪费粮食是美德[鼓掌]
[鼓掌][鼓掌][鼓掌]
蔷薇医生手艺真好，看得我直流口水，给我寄过来一份吧[憧憬]
[抱抱][抱抱][赞][赞]
薇姐真是又帅又贤惠[doge]
卖相真好 [good]
可以的。我外公在的时候，一直说，饱吃不可浪费。参见我的id[doge]
美味[赞]
自己动手丰衣足食[good]
[作揖][赞][赞][赞][赞]真是一个会过日子的男人，
哈哈哈真不错，真的是越来越喜欢自己在家做饭吃了，干净还实惠
[good]
很不错
炒饭热量太高，我坚决不吃[嘻嘻][嘻嘻][嘻嘻]，减肥决心很强
炫我嘴里
[666][666]高配版炒饭[求饶]蔷薇哥哥绝对是上得厅堂下得厨房的好男人
节约粮食[嘻嘻][good][good][good]
此食虽简而味美，足见勤俭之心也。
